17:48:01 INFO llm_from_scratch.bpe_tokenizer.train_bpe train_bpe start: input=TinyStoriesV2-GPT4-train.txt (2124.6 MB), vocab_size=10000, special_tokens=1, mode=streaming
17:48:01 INFO llm_from_scratch.bpe_tokenizer.train_bpe checkpoint policy: every 50 merge(s)
17:48:01 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] streaming pretokenization starting (chunk_chars=1000000, mem_threshold=60%)
17:48:05 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 60% >= threshold, spilled chunk_000001 (words=3391048, index_ms=1270.8, pairs=891)
17:48:07 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 62% >= threshold, spilled chunk_000002 (words=242085, index_ms=71.5, pairs=657)
17:48:07 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 62% >= threshold, spilled chunk_000003 (words=242775, index_ms=75.0, pairs=637)
17:48:07 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 62% >= threshold, spilled chunk_000004 (words=242260, index_ms=71.7, pairs=659)
17:48:08 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 61% >= threshold, spilled chunk_000005 (words=242055, index_ms=68.6, pairs=660)
17:48:08 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 61% >= threshold, spilled chunk_000006 (words=241988, index_ms=70.5, pairs=681)
17:48:08 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 61% >= threshold, spilled chunk_000007 (words=242322, index_ms=72.2, pairs=650)
17:48:09 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 61% >= threshold, spilled chunk_000008 (words=242103, index_ms=69.9, pairs=663)
17:48:09 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 61% >= threshold, spilled chunk_000009 (words=242382, index_ms=68.5, pairs=666)
17:48:10 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 61% >= threshold, spilled chunk_000010 (words=241985, index_ms=69.5, pairs=658)
17:48:10 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 61% >= threshold, spilled chunk_000011 (words=241950, index_ms=69.0, pairs=661)
17:48:10 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 61% >= threshold, spilled chunk_000012 (words=242596, index_ms=72.0, pairs=645)
17:48:11 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 61% >= threshold, spilled chunk_000013 (words=242010, index_ms=67.8, pairs=651)
17:48:11 INFO llm_from_scratch.bpe_tokenizer.train_bpe [pretokenize] memory 61% >= threshold, spilled chunk_000014 (words=242210, index_ms=69.7, pairs=663)
